"Story","Title","Result","Date","Stability","Duration (s)"
"Employee Details","Send a Request to get valid user details","SUCCESS","2022-10-03T01:00:44.114-05:00[America/Bogota]","0.0","7.21"
"Employee Details","Send a Request to get invalid user details","SUCCESS","2022-10-03T01:00:51.337-05:00[America/Bogota]","0.0","0.91"
"Looking up post codes","Looking up US locations by post code","SUCCESS","2022-10-03T01:00:52.266-05:00[America/Bogota]","0.0","3.92"
"Search Province","Search Province","SUCCESS","2022-10-03T01:05:42.871-05:00[America/Bogota]","0.0","6.68"
