"Story","Title","Result","Date","Stability","Duration (s)"
"Employee Details","Send a Request to get valid user details","SUCCESS","2022-10-03T01:00:44.114-05:00[America/Bogota]","0.0","7.21"
"Employee Details","Send a Request to get invalid user details","SUCCESS","2022-10-03T01:00:51.337-05:00[America/Bogota]","0.0","0.91"
